,observations,lag1_autocorr,has_autocorr
Afghanistan,52,0.6392317595124665,True
Albania,52,0.35435913802625146,True
Algeria,52,-0.22219608506537078,False
Andorra,52,0.39637707801760863,True
Angola,52,0.6108869048283125,True
Antigua and Barbuda,52,0.2429762286089553,False
Azerbaijan,32,0.8153681148464428,True
Argentina,52,0.08162623091013262,False
Australia,52,0.13681130948236844,False
Austria,52,0.11408012966148741,False
Bahrain,52,0.048972143498202905,False
Bangladesh,52,0.24752655672205198,False
Armenia,32,0.5203749957591117,True
Barbados,52,0.34487935980921924,True
Belgium,52,-0.05629719468011329,False
Bermuda,52,0.34567542209610247,True
Bhutan,52,0.07846386724719834,False
Bosnia and Herzegovina,32,0.6911926140175175,True
Botswana,52,0.47274194283218024,True
Brazil,52,0.49915777241253545,True
Belize,52,0.22000900455730973,False
Solomon Islands,52,0.5642590546359323,True
Brunei Darussalam,52,0.16017246395786883,False
Bulgaria,52,0.296727114571358,False
Myanmar,52,0.7209756225972985,True
Burundi,52,0.1791589199525497,False
Belarus,32,0.7217473152618494,True
Cambodia,52,0.2526759824458127,False
Cameroon,52,0.3698325503796118,True
Canada,52,0.15210059116923225,False
Cabo Verde,52,0.26892491933068946,False
Cayman Islands,52,0.36494208278896256,True
Central African Republic,52,-0.06993666535557312,False
Sri Lanka,52,0.327421346985306,True
Chad,52,0.19219407305122857,False
Chile,52,0.2724116788179822,False
China,52,0.3804935520893577,True
Colombia,52,0.1189014718112679,False
Comoros,52,-0.07877465695564428,False
Costa Rica,52,0.2716910066634149,False
Croatia,32,0.6509076849114698,True
Cuba,52,0.49097973806136563,True
Cyprus,52,0.7859010840116155,True
Czechia,32,0.5193443350667677,True
Benin,52,0.04368060265374704,False
Denmark,52,0.07254418829225119,False
Dominica,52,0.08929628950542136,False
Dominican Republic,52,0.151608353408146,False
Ecuador,52,0.25636806049634686,False
El Salvador,52,0.35719511658856185,True
Equatorial Guinea,52,0.4578013254280121,True
Ethiopia,32,0.3554211136339644,True
Eritrea,32,0.5150992419123831,True
Estonia,32,0.536174506893769,True
Fiji,52,0.05485277086139842,False
Finland,52,0.4293661085714207,True
France,52,0.08073961985202026,False
French Polynesia,52,-0.08844669633528533,False
Djibouti,52,0.6586822679674216,True
Gabon,52,0.3074325371907278,True
Georgia,32,0.7623845976402983,True
Germany,52,0.1438996060175203,False
Ghana,52,0.37912687680483764,True
Kiribati,52,0.13955389706453153,False
Greece,52,0.39930485509413083,True
Greenland,52,0.25295058191914555,False
Grenada,52,0.10387171350981633,False
Guatemala,52,0.4817549775305744,True
Guinea,52,0.05932775998291265,False
Guyana,52,0.48665925657407605,True
Haiti,52,0.16632384262555427,False
Honduras,52,-0.027381870983768996,False
Hungary,52,0.459341835967865,True
Iceland,52,0.39974217551505425,True
India,52,-0.02553455002930008,False
Indonesia,52,0.3252586284171361,True
Iraq,52,-0.324176106417305,True
Ireland,52,0.299247987337769,False
Israel,52,0.24177012951839713,False
Italy,52,0.05613742916396129,False
Jamaica,52,0.11504633793383094,False
Japan,52,0.4290733491168931,True
Kazakhstan,32,0.8398520466484914,True
Jordan,52,0.5461302947435333,True
Kenya,52,0.23033860716946977,False
Kosovo,32,-0.48583375920682487,True
Kuwait,52,0.03425107267738558,False
Lebanon,52,0.8862897349434781,True
Lesotho,52,0.18589515081845606,False
Latvia,32,0.5989096831135656,True
Liberia,52,0.49331129423387915,True
Libya,52,-0.36054834482580966,True
Liechtenstein,52,0.7308155820433678,True
Lithuania,32,0.6292001876248446,True
Luxembourg,52,0.2535448273921007,False
Madagascar,52,-0.10111704755997597,False
Malawi,52,-0.17915333860820248,False
Malaysia,52,0.2178690827206774,False
Maldives,52,-0.21893305888010026,False
Mali,52,-0.16402197770987836,False
Malta,52,0.3178357400900235,True
Mauritania,52,-0.17402321256033074,False
Mauritius,52,0.07984689771920914,False
Mexico,52,0.25851994345528057,False
Monaco,52,-0.273582049423228,False
Mongolia,52,0.6738040235979142,True
Montenegro,32,-0.24737737090673717,False
Morocco,52,-0.45078049268731096,True
Mozambique,52,0.4247138912988419,True
Oman,52,0.307147953687535,True
Namibia,52,0.3491364710757803,True
Nauru,52,0.2776846000188671,False
Nepal,52,-0.18066340303953374,False
Netherlands,52,0.25409817776375,False
Aruba,52,0.4942644061863496,True
Sint Maarten (Dutch part),17,-0.3541890118242939,True
New Caledonia,52,0.16337130696026161,False
Vanuatu,52,0.7430143111084239,True
New Zealand,52,0.38543419914880733,True
Nicaragua,52,0.2522209139562129,False
Niger,52,0.1097057721317219,False
Nigeria,52,0.3749130043431371,True
Norway,52,0.557747160542614,True
Marshall Islands,52,0.13506381026883174,False
Palau,52,0.412050707735971,True
Pakistan,52,0.14228033204633284,False
Panama,52,0.13292787879207493,False
Papua New Guinea,52,0.3645425955746155,True
Paraguay,52,0.5350590229502926,True
Peru,52,0.2528859803605353,False
Philippines,52,0.30683286549760563,True
Poland,52,0.9072461314919721,True
Portugal,52,0.3645964972990561,True
Guinea-Bissau,52,-0.39338448367952633,True
Timor-Leste,32,-0.11336441766127009,False
Qatar,52,0.3913878655185596,True
Romania,52,0.8821727216332677,True
Russian Federation,32,0.6094255257016048,True
Rwanda,52,-0.10675844444226627,False
St. Vincent and the Grenadines,52,0.042540929100487776,False
San Marino,52,0.646942990071866,True
Sao Tome and Principe,52,0.03356620826626527,False
Saudi Arabia,52,0.48028833140769484,True
Senegal,52,-0.12324305189879607,False
Serbia,32,0.17712230943190949,False
Seychelles,52,0.1302562622615524,False
Sierra Leone,52,0.029770095344302316,False
Singapore,52,0.30503202563494924,True
Viet Nam,52,0.8141029002919127,True
Slovenia,32,0.4703497189062623,True
South Africa,52,0.24767184197127218,False
Zimbabwe,52,0.42510283289350687,True
Spain,52,0.28775007419230664,False
South Sudan,14,-0.11701828782547531,False
Sudan,14,0.05000824619373686,False
Suriname,52,0.23011751066573208,False
Eswatini,52,0.3206228340501079,True
Sweden,52,0.09793658081001876,False
Switzerland,52,0.21756317096790717,False
Syrian Arab Republic,52,0.23113442038993648,False
Tajikistan,32,0.806522083104467,True
Thailand,52,0.5152278979531791,True
Togo,52,-0.019876824100076282,False
Tonga,52,0.21962940715265647,False
Trinidad and Tobago,52,0.5730592207465146,True
United Arab Emirates,52,0.5537720268725637,True
Tunisia,52,0.08850048190795172,False
